prefix,publisher,journals,dois
10.4065,"Elsevier - Mayo Clinic Proceedings",1,4902
10.1383,"Elsevier - Medicine Publishing Company",5,1638
10.1067,"Elsevier - Mosby",49,25480
10.1078,"Elsevier - Urban & Fischer Verlag",29,5899
10.1053,"Elsevier - WB Saunders",142,60080
10.1580,"Elsevier - Wilderness Medical Society",2,501
10.1054,"Elsevier- Churchill Livingstone",52,12951
10.1197,"Elsevier- Hanley and Belfus Inc.",1,503
10.1240,"Elsevier- Spektrum Akademischer Verlag",11,1942
10.4336,"Embrapa Florestas",1,186
10.1108,"Emerald (MCB UP )",373,180058
10.5042,"Emerald - Pier Professional",22,839
10.12675,"Emerging Theatre Research",0,0
10.1304,"Encyclopedia of Life",0,0
10.12736,"Energa SA",0,0
10.9769,"Energy Psychology Press",0,0
10.7715,"Engineering Science and Technology Digital Library",0,0
10.6037,"Engineering Technology Press",0,0
10.12720,"Engineering and Technology Publishing",14,222
10.7158,"Engineers Australia",7,217
10.12741,"Entomo Brasilis",1,35
10.4182,"Entomological Society of America Arthropod Management Tests",1,1170
10.5994,"Entomological Society of Indonesia/Perhimpunan Entomologi Indonesia",1,15
10.9770,"Entrepreneurship and Sustainability Center",2,47
10.12944,"Enviro Research Publishers",1,43
10.1289,"Environmental Health Perspectives",1,14332
10.4133,"Environmental and Engineering Geophysical Society",1,228
10.1558,"Equinox Publishing",32,3609
10.3112,Erdkunde,1,1826
10.2378,"Ernst Reinhardt, GmbH & Co. KG",7,459
10.6008,"Escola Superior de Sustentabilidade",5,192
10.7559,"Escola das Artes, Universidade Catolica Portuguesa",1,40
10.3176,"Estonian Academy Publishers",10,1203
10.5128,"Estonian Association for Applied Linguistics",2,223
10.7592,"Estonian Literary Museum Scholary Press",4,201
10.12973,"Eurasian Society of Educational Research",3,38
10.4244,"Europa Digital and Publishing",1,1094
10.1510,"European Association of Cardiothoracic Surgery",1,97
10.7185,"European Association of Geochemistry",1,5
10.7148,"European Council for Modeling and Simulation",0,0
10.5570,"European Defendology Center",1,61
10.11599,"European HIV/AIDS and Infectious Diseases Academy",1,40
10.5155,"European Journal of Chemistry",1,310
10.4171,"European Mathematical Society Publishing House",15,7606
10.2971,"European Optical Society",1,371
10.11633,"European Paediatric Association",0,0
10.1183,"European Respiratory Society",4,9986
10.5270,"European Space Agency",0,0
10.12771,"Ewha Womans University School of Medicine (KAMJE)",1,53
10.7904,"Exact Sciences Department, Banat's Journal of Biotechnology",1,36
10.5034,"Excellus Health Plan, Inc.",1,496
10.5126,"Excellus Health Plan, Inc.",0,0
10.1586,"Expert Reviews, LTD",19,16857
10.12688,"F1000 Research, Ltd.",1,417
10.6034,"FACCAMP - Faculdade Campo Limpo Paulista",0,0
10.5329,FACECLA,2,333
10.4147,FBCommunication,9,298
10.2956,"FDI World Dental Press",0,0
10.7819,"FECAP Fundacao Escola de Comercio Alvares",1,10
10.11602,"Faculdade Independente do Nordeste",0,0
10.5628,"Faculdade de Desporto",1,1
10.7447,"Faculdade de Tecnologia e Ciencias",1,43
10.3410,"Faculty of 1000, Ltd.",4,475
10.12703,"Faculty of 1000, Ltd.",1,23
10.13167,"Faculty of Civil Engineering Osijek",0,0
10.5592,"Faculty of Civil Engineering, University of Zagreb",1,29
10.7549,"Faculty of Economics and Business, University of Maribor",1,10
10.7327,"Faculty of Economics, VSB Technical University of Ostrava",1,94
10.4186,"Faculty of Engineering, Chulalongkorn University",2,202
10.1783,"Faculty of Family Planning",1,91
10.9755,"Faculty of Food and Agriculture, United Arab Emerites University",1,133
10.5552,"Faculty of Forestry, University of Zagreb",1,79
10.5476,"Faculty of Information Quarterly",0,0
10.7168,"Faculty of Law, Banja Luka University",2,30
10.5778,"Faculty of Law, University of Tasmania",1,11
10.7225,"Faculty of Maritime Studies Split",1,26
10.7151,"Faculty of Mathematics, Computer Science and Econometrics, University of Zielona Gora",4,1109
10.2206,"Faculty of Mathematics, Kyushu University",2,1225
10.5545,"Faculty of Mechanical Engineering",1,236
10.5372,"Faculty of Medicine, Chulalongkorn University, Asian Biomedicine",1,59
10.13181,"Faculty of Medicine, Universitas Indonesia",1,50
10.12716,"Faculty of Navigation",1,40
10.7562,"Faculty of Occupational Safety, University of Nis",1,32
10.7595,"Faculty of Organizational Sciences",1,50
10.5550,"Faculty of Physical Education and Sport",2,181
10.7307,"Faculty of Transport and Traffic Sciences",1,232
10.1096,"Federation of American Society for Experimental Biology",1,6185
10.5146,"Federation of Turkish Pathology Societies",1,259
10.3324,"Ferrata Storti Foundation",1,2484
10.1382,"Fibre Diffraction Review",0,0
10.5186,"Finnish Academy of Science and Letters",3,286
10.5204,"First Year in Higher Education",2,172
10.3153,"Fisheries Sciences.com",1,316
10.7711,"Fondazione Eni Enrico Mattei",1,42
10.7320,"Fondazione Pro Herbario Mediterraneo",2,16
10.4060,"Food and Agriculture Organization of the United Nations",0,0
10.5422,"Fordham University Press",0,0
10.13073,"Forest Products Society",0,0
10.13085,"Forschungsinstitut Freie Berufe",1,8
10.4052,"Forum: Carbohydrates Coming of Age",1,1051
10.5120,"Foundation of Computer Science",2,6926
10.3280,"Franco Angeli (mEDRA)",45,634
10.2195,"Fraunhofer-Institut fur Materialfluss und Logistik",3,192
10.12699,"French-Vietnamese Association of Pulmonology",0,0
10.5268,"Freshwater Biological Association",0,0
10.3389,"Frontiers Media SA",36,18946
10.4175,"Frontiers Media SA",0,0
10.2741,"Frontiers in BioScience",2,4802
10.12788,"Frontline Medical Communications, Inc.",2,17
10.6005,"Fundacao Educacional Aracatuba",2,17
10.3738,"Fundacao Educational de Ituverava",2,346
10.6061,"Fundacao Faculdade de Medicina",1,484
10.12660,"Fundacao Getulio Vargas",2,44
10.7444,"Fundacao Instituto de Administracao",1,77
10.3395,"Fundacao Oswaldo Cruz",2,691
10.7162,"Fundacao Otorrinolaringologia",2,550
10.7867,"Fundacao Universidade Regional de Blumenau",3,50
10.7238,"Fundacio per la Universitat Oberta de Catalunya",6,162
10.7578,"Fundacion Ciencia Joven",1,10
10.11600,"Fundacion Cinde",1,19
10.1174,"Fundacion Infancia y Aprendizaje",8,2721
10.13184,"Fundacion de Ciencias de al Salud",0,0
10.2217,"Future Medicine",35,16551
10.4155,"Future Science, LTD",7,3557
10.5561,"GEMS - Gender, Education, Music and Society",0,0
10.5935,"GN1 Genesis Network",12,1611
10.5848,"GSE Research Limited",1,1
10.9774,"GSE Research Limited",0,0
10.11594,"Galaxy Science",0,0
10.4274,"Galenos Yayinevi",16,1716
10.12996,"Gazi University",1,20
10.5741,"Gemological Institute of America",1,1137
10.4238,"Genetics and Molecular Research",1,1835
10.4056,"Genomic Standards Consortium",1,321
10.2113,GeoScienceWorld,13,15014
10.7147,Geografares,1,161
10.5638,"Geographic Information Systems Association of Japan",1,264
10.11143,"Geographical Societ of Finland",1,4
10.7154,"Geography Department, University of Sao Paulo",1,267
10.12789,"Geological Association of Canada",1,5
10.1130,"Geological Society of America",7,23858
10.1144,"Geological Society of London",12,25931
10.7186,"Geological Society of Malaysia",0,0
10.5474,"Geological Survey of Slovenia",1,554
10.2205,"Geophysical Center of the Russian Academy of Sciences",3,487
10.4079,"George Washington University",2,180
10.11636,"Geoscience Australia",0,0
10.5490,"GeroFam Journal",1,35
10.7453,"Global Advances in Health and Medicine",1,119
10.7880,"Global Business Research Center",1,58
10.5098,"Global Digital Central",2,135
10.7728,"Global Journal of Community Psychology Practice",0,0
10.4208,"Global Science Press",8,1150
10.5176,"Global Science and Technology Forum",6,86
10.7871,"Global Summitry Project, Munk School",1,6
10.5893,"Global War Studies",1,102
10.5481,"Graduate School Khon Kaen University",2,377
10.3107,"Graduate School of Environmental Science, Okayama University",1,30
10.4036,"Graduate School of Information Sciences, Tohoku University",1,354
10.9743,"Grand Canyon University",1,17
10.9707,"Grand Valley State University Libraries",3,933
10.3903,"Green Theory and Praxis: The Journal of Ecopedagogy",1,11
10.11127,"Greit Publications",1,89
10.5267,"Growing Science",5,1001
10.3916,"Grupo Comunicar",1,375
10.1521,"Guilford Publications",17,8772
10.5219,"HACCP Consulting",1,162
10.7128,"Hallym University Press",0,0
10.7707,"Hamdan Medical Journal",2,111
10.12677,"Hans Publishers",86,1685
10.7599,"Hanyang University College of Medicine (KAMJE)",1,124
10.6004,"Harborside Press, LLC",0,0
10.13173,"Harrassowitz Publishing House",0,0
10.5235,"Hart Publishing",21,1774
10.4159,"Harvard University Press",1,1
10.1345,"Harvey Whitney Books Co.",1,6681
10.13162,"Health Reform Observer - Observatoire des Reformes de Sante",0,0
10.12707,"Health Sciences Research Unit: Nursing",1,181
10.7196,"Health and Medical Publishing Group",12,597
10.5083,"Healthcare Bulletin",3,48
10.12715,"Healthy Aging Research",1,7
10.7243,"Herbert Publications",30,269
10.5358,"Herpetological Society of Japan",1,83
10.12988,"Hikari, Ltd.",16,227
10.6064,"Hindawi  (Scientifica)",1,109
10.7217,"Hindawi (Conference Papers in Science)",0,0
10.7167,"Hindawi (Datasets International)",8,283
10.5402,"Hindawi (International Scholarly Research Network)",134,4305
10.1100,"Hindawi (The Scientific World)",6,3956
10.1155,"Hindawi Publishing Corporation",557,75831
10.4061,"Hindawi Publishing Corporation (Sage-Hindawi Access to Research)",32,786
10.3814,"Hindawi Publishing Corporation (Syrexe)",16,115
10.5092,"Historians of Netherlandish Art",1,31
10.2153,"Historic Brass Society",1,46
10.5024,"Historical Society of English Studies in Japan",2,659
10.5215,"Historical Society of Pennsylvania",2,285
10.9737,"History Studies International Journal of History",1,341
10.1024,"Hogrefe & Huber Publishing Group",22,17045
10.1026,"Hogrefe & Huber Publishing Group",18,6271
10.1027,"Hogrefe & Huber Publishing Group",16,5370
10.7886,"Hokkaido Geographical Society",1,41
10.7129,"Hokkaido Sociological Association",1,264
10.12809,"Hong Kong Academy of Medicine Press",2,63
10.7178,"Hong Kong STM Publishing Co., Ltd.",3,85
10.5790,"Hong Kong University Press",0,0
10.13189,"Horizon Research Publishing Co., Ltd.",0,0
10.4280,"Huelva University Press",0,0
10.5178,"Human Behavior and Evolution Society of Japan",1,27
10.1518,"Human Factors & Ergonomics",0,0
10.5719,"Human Geographies",1,44
10.12922,"Human Performance Corsortium",0,0
10.6007,"Human Resource Management Academic Research Society",3,49
10.5706,"Hungarian Association of Psychopharmacologists",1,5
10.7188,"Hungarian Dermatological Society",1,35
10.5779,"Hypothesis Journal",1,113
10.7763,"IACSIT Press",25,2664
10.13090,"IBICT Test account",0,0
10.5171,"IBIMA Publishing",37,571
10.1147,IBM,2,6118
10.12921,"ICHB PAS Poznan Supercomputing and Networking Center",1,34
10.5746,"IDP Education Cambodia",1,67
10.13007,"IEDP Ideas for Leaders",0,0
10.1616,"IFIS Publishing",2,143
10.4018,"IGI Global",149,13590
10.12983,"IJSR Publications",3,49
10.1255,"IM Publications",4,3208
10.9781,"IMAI Software - International Journal of Interactive Multimedia and Artificial Intelligence",1,74
10.9768,"IMDA Press",1,410
10.13111,"INCAS - National Institute for Aerospace Research Elie Carafoli",1,298
10.4267,INIST-CNRS,10,13853
10.7127,INOVAGRI,1,162
10.11132,"INSPER - Instituto de Ensino e Pesquisa",1,315
10.1088,"IOP Publishing",99,510044
10.1209,"IOP Publishing - Europhysics Letters",1,15446
10.9790,"IOSR Journals",18,6643
10.5367,"IP Publishing",5,2840
10.4026,"IS, GUC The Journal of Industrial Relations and Human Resoruces",1,180
10.7455,"ISEKI Food Association",1,33
10.5899,"ISPACS GmbH",8,144
10.2305,IUCN,0,0
10.2166,"IWA Publishing",12,12423
10.13084,"Iberoamerican Journal of Industrial Engineering",0,0
10.4033,"Ideas in Ecology and Evolution",1,46
10.3848,"Iktisat Isletme ve Finans Dergisi",1,2063
10.2150,"Illuminating Engineering Society of Japan",2,5953
10.1582,"Illuminating Engineering Society of North America",1,25
10.12658,"Ilmi Etudler Dernegi - ILEM",1,21
10.5201,"Image Processing On Line",1,45
10.5922,"Immanuel Kant Baltic Federal University",4,734
10.7332,"Immediate Science Ecology",1,4
10.3142,"Improbable Research, Inc.",1,572
10.7193,"In Quarto - Editions EMS",1,12
10.5772,InTech,8,1166
10.1504,"Inderscience Enterprises Ltd.",367,49373
10.5604,"Index Copernicus International",21,1038
10.5214,"Indian Academy of Neurosciences",1,429
10.7713,"Indian Journal of Medical Specialties",1,209
10.13107,"Indian Orthopaedic Research Group",0,0
10.5378,"Indiana Magazine of History",1,96
10.2506,"Indiana University Center for Genomics and Bioinformatics",1,22
10.1512,"Indiana University Mathematics Journal",1,4899
10.2979,"Indiana University Press",33,16257
10.5454,"Indonesian Society for Microbiology",1,182
10.9876,"Inera test prefix",0,0
10.12986,Infomesr,1,8
10.3155,"Informa UK (Air & Waste Management Association)",0,0
10.1198,"Informa UK (American Statistical Association)",6,5718
10.1517,"Informa UK (Ashley Publications)",15,19275
10.3152,"Informa UK (Beech Tree Publishing)",1,88
10.3137,"Informa UK (Canadian Meteorological and Oceanographic Society)",0,0
10.1888,"Informa UK (Encyclopedia of Astronomy and Astrophysics)",0,0
10.3939,"Informa UK (Georg D. W. Callwey GambH and Co., KG)",0,0
10.1300,"Informa UK (Haworth Press, Inc.,)",67,13418
10.3200,"Informa UK (Heldref Publications)",12,1033
10.2976,"Informa UK (Human Frontier Science Program Publishing)",1,153
10.1623,"Informa UK (IAHS Ltd.)",0,0
10.3109,"Informa UK (Informa Healthcare)",175,216384
10.2144,"Informa UK (Informa Life Sciences)",1,1591
10.3826,"Informa UK (International Association of Hydraulic Engineering and Research (IAHR))",0,0
10.4113,"Informa UK (Journal of Maps)",0,0
10.2513,"Informa UK (Lawrence Erlbaum Associates, Inc)",2,29
10.1207,"Informa UK (Lawrence Erlbaum Associates, Inc.)",22,4636
10.1185,"Informa UK (Librapharm)",5,5433
10.1081,"Informa UK (Marcel Dekker)",87,26503
10.2167,"Informa UK (Multilingual Matters)",1,26
10.2989,"Informa UK (National Inquiry Services Center)",13,3758
10.3187,"Informa UK (National Inquiry Services Center/African Journals Online)",0,0
10.3111,"Informa UK (PharmaProjects)",1,643
10.3110,"Informa UK (Regulatory Affairs)",0,0
10.4324,"Informa UK (Routledge)",0,0
10.1076,"Informa UK (Swets & Zeitlinger Publishers)",24,1979
10.1531,"Informa UK (Taylor & Francis Books)",0,0
10.1080,"Informa UK (Taylor & Francis)",2538,2187795
10.1887,"Informa UK(IOP Books)",0,0
10.5729,"Information Engineering Research Institute",0,0
10.2197,"Information Processing Society of Japan",6,806
10.12737,"Infra-M Academic Publishing House",10,287
10.5821,"Iniciativa Digital Politecnica",0,0
10.5640,"Insciences Organization",1,19
10.5567,"Insight Knowledge",18,264
10.5605,"Insitututo Estudios Bursatiles",1,2
10.11129,"Institut Fuer Internationale Architektur Dokumentation",0,0
10.4335,"Institut Za Lokalno Samoupravo in Javna Narocila Maribor",2,56
10.11567,"Institut Za Migracije I Narodnosti -Institute for Migration and Ethnic Studies",0,0
10.5672,"Institut d'Educacio Fisica de Catalunya",2,203
10.1541,"Institute Electrical Engineers Japan",8,18230
10.4108,"Institute for Computer Sciences, Social Informatics and TelecommunicationsEngineering",9,67
10.5488,"Institute for Condensed Matter Physics",1,906
10.5471,"Institute for Information Policy",0,0
10.1287,"Institute for Operations Research and the Management Sciences",13,26642
10.12668,"Institute for Policy Studies and Social Innovation, University of Hyogo",1,31
10.7826,"Institute for Social Research",0,0
10.5673,"Institute for Social Research Zagreb",1,61
10.11630,"Institute for the Theology of Culture: New Wine, New Wineskins",0,0
10.11591,"Institute of Advanced Engineering and Science",15,1689
10.5373,"Institute of Advanced Scientific Research",4,298
10.5028,"Institute of Aeronautics and Space",1,162
10.5836,"Institute of Agricultural Management",1,1
10.12718,"Institute of Animal Resources",1,12
10.7242,"Institute of Continuous Media Mechanics",1,222
10.5302,"Institute of Control, Robotics and Systems",2,1889
10.5800,"Institute of Earth's Crust, Siberian Branch of Russian Academy of Sciences",1,98
10.1109,"Institute of Electrical and Electronics Engineers",321,743746
10.5813,"Institute of Electronic and Information Technology",1,57
10.1587,"Institute of Electronics, Information and Communications Engineers",9,17243
10.4260,"Institute of Food Technology",1,192
10.7747,"Institute of Forest Science, Kangwon National University",1,24
10.7163,"Institute of Geography and Spatial Organization, Polish Academy of Sciences",3,183
10.4084,"Institute of Hematology, Catholic University",1,264
10.5096,"Institute of Human Cognition and Brain Science",0,0
10.9748,"Institute of Human Culture Studies, Otsuma Womens University",1,17
10.12792,"Institute of Industrial Applications Engineers",1,8
10.3359,"Institute of Information Science",1,475
10.7471,"Institute of Korean Electrical and Electronics Engineers",1,73
10.3370,"Institute of Life Cycle Assessment, Japan",1,101
10.1214,"Institute of Mathematical Statistics",17,19933
10.13108,"Institute of Mathematics USC RAS",0,0
10.4064,"Institute of Mathematics, Polish Academy of Sciences",9,6257
10.7124,"Institute of Molecular Biology and Genetics, NAS Ukraine",1,1257
10.3397,"Institute of Noise Control Engineering",2,1308
10.5697,"Institute of Oceanology, Polish Academy of Sciences",1,163
10.1135,"Institute of Organic Chemistry & Biochemistry, Academy of Sciences of the Czech Republic",1,13836
10.3116,"Institute of Physical Optics",2,370
10.12693,"Institute of Physics, Polish Academy of Sciences",1,304
10.13170,"Institute of Postgraduate Studies, Syiah Kuala University",0,0
10.13177,"Institute of Public Administration and Politics - Icelandic Review of Politics and Administration",0,0
10.3326,"Institute of Public Finance",5,46
10.11649,"Institute of Slavic Studies of the Polish Academy of Sciences",0,0
10.5559,"Institute of Social Sciences Ivo Pilar",1,153
10.13060,"Institute of Sociology of the Academy of Sciences of the Czech Republic",0,0
10.1355,"Institute of Southeast Asian Studies",4,2802
10.5705,"Institute of Statistical Science, Academia Sinica",1,247
10.3409,"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences",4,489
10.12704,"Institute of Systems Biology",1,6
10.5895,"Institute of West Asian Studies",0,0
10.1049,"Institution of Electrical Engineers",95,126519
10.3905,"Institutional Investor Journals",10,7142
10.12661,"Instituto Agronomico de Pernambuco",1,19
10.11117,"Instituto Brasiliense de Direito Publico",1,340
10.5123,"Instituto Evandro Chagas",3,367
10.5113,"Instituto IMANI",1,22
10.7760,"Instituto Juan de Herrera",1,5
10.5424,"Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria",2,634
10.7705,"Instituto Nacional de Salud",1,140
10.5347,"Instituto Tecnologico Autonomo de Mexico",0,0
10.5295,"Instituto de Economia Aplicada a la Empresa",1,63
10.13035,"Instituto de Estudios Auriseculares",1,22
10.7866,"Instituto de Estudios Fiscales",1,7
10.11137,"Instituto de Geociencias - UFRJ",1,42
10.7773,"Instituto de Investigaciones Oceanologicas",1,142
10.5088,"Instituto de Oceanografia - FURG",1,91
10.4136,"Instituto de Pesquisas Ambientais em Bacias Hidrograficas",1,329
10.4321,"Instituto de Salud Carlos III/BNCS/SciELO Espana",36,11485
10.12662,"Instituto para o Desenvolvimento da Educacao",1,8
10.2204,"Integrated Ocean Drilling Program - Management International",1,215
10.2973,"Integrated Ocean Drilling Program Texas",0,0
10.6088,"Integrated Publishing Association",4,261
10.1535,"Intel Corp",2,136
10.1386,Intellect,90,10519
10.2321,"Intellectual Property Association of Japan",1,11
10.3354,"Inter-Research Science Center",9,20605
10.3886,"Inter-university Consortium for Political and Social Research",1,26
10.7448,"International AIDS Society",1,523
10.5854,"International Academy of Physical Therapy Research",1,41
10.7492,"International Association fo Sustainable Development and Management",1,35
10.2749,"International Association for Bridge and Structural Engineering",3,4800
10.7333,"International Association for Computerized Adaptive Testing",1,4
10.5547,"International Association for Energy Economics",2,1824
10.3801,"International Association for Fire Safety Science",1,1165
10.4315,"International Association for Food Protection",1,789
10.12705,"International Association for Plant Taxonomy",0,0
10.5383,"International Association for Sharing Knowledge and Sustainability",3,122
10.5869,"International Association of Astacology",1,26
10.5081,"International Association of Chinese Professionals in Global Positioning Systems",1,231
10.7323,"International Association of Engineering and Technology",1,2
10.7718,"International Association of Multidisciplinary Research",12,356
10.3991,"International Association of Online Engineering",5,992
10.5599,"International Association of Physical Chemists",2,40
10.3896,"International Bee Research Association",2,507
10.1138,"International Bone and Mineral Society",2,33
10.5541,"International Centre for Applied Thermodynamics",1,57
10.1154,"International Centre for Diffraction Data",0,0
10.13044,"International Centre for Sustainable Development of Water",1,4
10.7215,"International Centre for Trade and Sustainable Development",0,0
10.9738,"International College of Surgeons",1,170
10.6021,"International Computer Science Company",0,0
10.11135,"International Deep Drawing Research Group",0,0
10.5577,"International Dental Research",1,16
10.5829,"International Digital Organization for Scientific Information",3,346
10.2203,"International Dose-Response Society",1,293
10.5017,"International Ecostations",0,0
10.12734,"International Engineering Journal",0,0
10.3396,"International Federation of Infection Control",1,179
10.2499,"International Food Policy Research Institute",1,1
10.3729,"International Forum for Biophilosophy",0,0
10.5033,"International Free and Open Source Software Law Review",1,52
10.3189,"International Glaciological Society",2,3068
10.5542,"International Health Academy",4,10
10.1536,"International Heart Journal Association",2,5438
10.7176,"International Institute for Science, Technology and Education",4,12
10.7895,"International Journal of Alcohol and Drug Research",0,0
10.12692,"International Journal of Biosciences",1,109
10.7706,"International Journal of Eye Banking",1,13
10.5425,"International Journal of Land Systems",1,12
10.5116,"International Journal of Medical Education",1,94
10.11121,"International Journal of Optimization and Control: Theories and Applications",1,46
10.13040,"International Journal of Pharmaceutical Sciences and Research",1,50
10.7321,"International Journal of Soft Computing and Software Engineering",1,44
10.5549,"International Journal of Students' Research",1,32
10.12992,"International Language, Literature and Folklore Researchers Journal",1,13
10.3851,"International Medical Press",3,774
10.4071,"International Microelectronics and Packaging Society",0,0
10.5089,"International Monetary Fund",11,56
10.5598,"International Mycologica Association",1,72
10.7901,"International Oil Spill Conference",1,3376
10.5978,"International Phototherapy Association",1,565
10.2216,"International Phycological Society",1,3092
10.4160,"International Potato Center",0,0
10.4310,"International Press of Boston, Inc.",1,83
10.1598,"International Reading Association",1,14
10.5582,"International Research and Cooperation Association for Bio & Socio-Sciences Advancement",3,267
10.11601,"International Science and Engineering Society",1,29
10.12659,"International Scientific Literature",6,1123
10.1679,"International Society Histology & Cytology",2,3124
10.3808,"International Society for Environmental Information Sciences",1,228
10.4017,"International Society for Gerontechnology",2,1992
10.12967,"International Society for Music Education",0,0
10.3199,"International Society of Chromosome Botany",1,129
10.1508,"International Society of Cytology",1,4611
10.1583,"International Society of Endovascular Specialists",2,2151
10.5588,"International Union Against Tuberculosis and Lung Disease",2,956
10.1107,"International Union of Crystallography",12,248628
10.1351,"International Union of Pure and Applied Chemistry",1,9133
10.3890,"International University Line",1,15
10.5337,"International Water Management Institute",0,0
10.3841,"International Wire & Cable Symposium",0,0
10.3823,"Internet Medical Publishing",8,142
10.5580,"Internet Scientific Publishers, LLC",83,11237
10.6020,"Interscience Place",1,78
10.7173,"Irish Journal of French Studies",1,32
10.5915,"Islamic Medical Association of North America",1,299
10.5822,"Island Press",0,0
10.12969,"Istituto Scientia",0,0
10.4415,"Istituto Superiore di Sanita (mEDRA)",1,40
10.6060,"Ivanovo State University of Chemistry and Technology",1,104
10.7150,"Ivyspring International Publisher",4,1634
10.12678,"J. Michael Ryan Publishing",1,7
10.3328,"J. Ross Publishing",2,335
10.7860,"JCDR Research and Publications",2,470
10.2196,"JMIR Publications Inc.",5,1132
10.2307,JSTOR,853,2031547
10.3838,"JStage(Ornithological Society of Japan)",1,1912
10.3810,"JTE Multimedia LLC",3,4537
10.7459,"James Nicholas Publishers",6,1028
10.5057,"Japan  Society of Kansei Engineering",5,708
10.5108,"Japan Academic Collaborations Medical Society",1,46
10.11153,"Japan Academy of Critical Care Nursing",1,2
10.3418,"Japan Academy of Midwifery",1,699
10.5630,"Japan Academy of Nursing Science",1,309
10.5918,"Japan Agency for Marine-Earth Science and Technology",1,79
10.7164,"Japan Antibiotics Research Association",1,8071
10.11619,"Japan Association for African Studies",1,13
10.5760,"Japan Association for Comparative Economic Studies",5,481
10.5417,"Japan Association for Comparative Politics",0,0
10.5610,"Japan Association for Earthquake Engineering",1,189
10.5738,"Japan Association for Landscape Ecology",2,255
10.4116,"Japan Association for Quaternary Resarch",1,1628
10.5736,"Japan Association for Real Estate Sciences",0,0
10.5637,"Japan Association for Urban Sociology",1,34
10.5359,"Japan Association for Wind Engineering",2,1199
10.3804,"Japan Association of Breast Cancer Screening",1,644
10.5891,"Japan Association of Food Preservation Scientists",4,993
10.7222,"Japan Association of Gender Studies",0,0
10.5182,"Japan Association of Ion Exchange",1,474
10.2465,"Japan Association of Mineralogical Sciences",6,5357
10.12949,"Japan Association of Real Options and Strategy",1,37
10.2171,"Japan Association on Odor Environment",1,180
10.5793,"Japan Association on the Environmental Studies",1,1
10.5551,"Japan Atherosclerosis Society",1,934
10.4295,"Japan Audiological Society",2,9536
10.2468,"Japan Broncho-esophagological Society",1,4078
10.5030,"Japan Chapter of International Geosynthetics Society",3,416
10.7133,"Japan College of Angiology",1,77
10.5998,"Japan Comparative Education Society",0,0
10.3151,"Japan Concrete Institute",3,1279
10.2188,"Japan Epidemiological Association",1,1157
10.5100,"Japan Ergonomics Society",1,7320
10.11641,"Japan Gastrointestinal Endoscopy Society, Kanto Chapter",1,191
10.5453,"Japan Health Physics Society",1,1614
10.5104,"Japan Institute of Electronics Packaging",6,3168
10.3987,"Japan Institute of Heterocyclic Chemistry",1,15393
10.2464,"Japan Institute of Light Metals",1,5322
10.9749,"Japan Institute of Navigation",1,32
10.6090,"Japan International Research Center for Agricultural Sciences",1,223
10.3806,"Japan Kaatsu Training Society",1,38
10.3313,"Japan Landslide Society",2,1590
10.2961,"Japan Laser Processing Society",1,378
10.5955,"Japan Legal History Association",1,3230
10.7142,"Japan Medical Library Association",1,2511
10.2176,"Japan Neurosurgical Society",1,7266
10.5650,"Japan Oil Chemists' Society",4,7129
10.3812,"Japan Organization of Clinical Dermatologists",1,18
10.2958,"Japan Pancreas Society",1,667
10.1627,"Japan Petroleum Institute",2,3200
10.2141,"Japan Poultry Science Association",2,2305
10.2186,"Japan Prosthodontic Society",3,4412
10.3769,"Japan Radioisotope Association",1,6286
10.7248,"Japan Rhinologic Society",1,518
10.5363,"Japan Science Support Foundation",1,4400
10.1241,"Japan Science and Technology Agency",1,4955
10.2322,"Japan Society for Aeronautical and Space Sciences",8,5965
10.2116,"Japan Society for Analytical Chemistry",4,20445
10.1271,"Japan Society for Bioscience, Biotechnology, and Agrochemistry",5,42264
10.1247,"Japan Society for Cell Biology",1,1569
10.2199,"Japan Society for Clinical Anesthesia",1,3204
10.2177,"Japan Society for Clinical Immunology",1,2784
10.5983,"Japan Society for Comparative Endocrinology",2,616
10.5985,"Japan Society for Environmental Chemistry",1,821
10.3757,"Japan Society for Equilibrium Research",1,1939
10.3156,"Japan Society for Fuzzy Theory and Intelligent Informatics",1,428
10.5989,"Japan Society for Graphic Science",1,1673
10.5981,"Japan Society for Head and Neck Cancer",2,2735
10.5106,"Japan Society for Head and Neck Surgery",1,784
10.2496,"Japan Society for Higher Brain Dysfunction",1,1095
10.3192,"Japan Society for Immunology of Reproduction",1,23
10.4109,"Japan Society for Lactic Acid Bacteria",1,45
10.2530,"Japan Society for Laser Surgery and Medicine",1,239
10.2328,"Japan Society for Natural Disaster Science",1,59
10.1539,"Japan Society for Occupational Health",3,3963
10.5843,"Japan Society for Oral Tumors",1,570
10.3937,"Japan Society for Oriental Medicine",1,1340
10.4092,"Japan Society for Research on Emotions",1,313
10.4106,"Japan Society for Snow Engineering",2,591
10.5512,"Japan Society for Southeast Asian Studies",1,423
10.9772,"Japan Society for the Philosophy of Sport and Physical Education",1,17
10.7567,"Japan Society of Applied Physics",2,1247
10.1143,"Japan Society of Applied Physics",5,116636
10.2208,"Japan Society of Civil Engineers",43,39756
10.4011,"Japan Society of Colour Material",2,594
10.4019,"Japan Society of Coordination Chemistry",1,67
